CHILD 1 offset: 37 us | pulse_to_spi: 330 us | synced: 1140418.114000 ms
CHILD 1 offset: 37 us | pulse_to_spi: 330 us | synced: 1155423.714000 ms
CHILD 1 offset: 37 us | pulse_to_spi: 330 us | synced: 1170429.314000 ms
CHILD 1 offset: 38 us | pulse_to_spi: 329 us | synced: 1185434.914000 ms
CHILD 1 offset: 35 us | pulse_to_spi: 329 us | synced: 1200440.514000 ms
CHILD 1 offset: 35 us | pulse_to_spi: 329 us | synced: 1215446.114000 ms
CHILD 1 offset: 35 us | pulse_to_spi: 329 us | synced: 1230451.714000 ms
CHILD 1 offset: 36 us | pulse_to_spi: 329 us | synced: 1245457.314000 ms
CHILD 1 offset: 36 us | pulse_to_spi: 329 us | synced: 1260462.914000 ms
CHILD 1 offset: 37 us | pulse_to_spi: 329 us | synced: 1275468.514000 ms
CHILD 1 offset: 37 us | pulse_to_spi: 329 us | synced: 1290474.114000 ms
CHILD 1 offset: 38 us | pulse_to_spi: 329 us | synced: 1305479.714000 ms
CHILD 1 offset: 38 us | pulse_to_spi: 329 us | synced: 1320485.314000 ms
CHILD 1 offset: 38 us | pulse_to_spi: 330 us | synced: 1335490.914000 ms
CHILD 1 offset: 39 us | pulse_to_spi: 329 us | synced: 1350496.514000 ms
CHILD 1 offset: 39 us | pulse_to_spi: 329 us | synced: 1365502.114000 ms
CHILD 1 offset: 39 us | pulse_to_spi: 330 us | synced: 1380507.714000 ms
CHILD 1 offset: 40 us | pulse_to_spi: 329 us | synced: 1395513.314000 ms
CHILD 1 offset: 39 us | pulse_to_spi: 330 us | synced: 1410518.914000 ms
CHILD 1 offset: 40 us | pulse_to_spi: 330 us | synced: 1425524.514000 ms
CHILD 1 offset: 41 us | pulse_to_spi: 329 us | synced: 1440530.114000 ms
CHILD 1 offset: 40 us | pulse_to_spi: 330 us | synced: 1455535.714000 ms
CHILD 1 offset: 41 us | pulse_to_spi: 329 us | synced: 1470541.314000 ms
CHILD 1 offset: 40 us | pulse_to_spi: 330 us | synced: 1485546.914000 ms
CHILD 1 offset: 41 us | pulse_to_spi: 330 us | synced: 1500552.514000 ms
CHILD 1 offset: 42 us | pulse_to_spi: 329 us | synced: 1515558.114000 ms
CHILD 1 offset: 41 us | pulse_to_spi: 329 us | synced: 1530563.714000 ms
