CHILD 1 offset: 0 us | pulse_to_spi: 1000 us | synced: 1110409.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 1125415.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 1140421.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 1000 us | synced: 1155426.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 1170432.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 1185437.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 0 us | synced: 1200443.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 1215449.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 1000 us | synced: 1230454.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 1245460.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 1260465.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 1275471.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 1290477.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 1305482.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 1320488.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 1335493.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 1350499.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 1365505.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 1380510.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 1395516.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 1000 us | synced: 1410521.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 1425527.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 1440533.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 1000 us | synced: 1455538.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 1470544.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 1485549.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 1500555.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 1515561.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 1530566.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 1545572.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 1560577.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 1575583.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 1590589.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 1605594.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 1620600.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 1000 us | synced: 1635605.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 1650611.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 1665617.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 1680622.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 1695628.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 1000 us | synced: 1710633.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 1725639.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 1740645.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 1000 us | synced: 1755650.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 1770656.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 1785661.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 1800667.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 1815673.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 1830678.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 1845684.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 1860689.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 1875695.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 1890701.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 1905706.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 1920712.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 1000 us | synced: 1935717.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 1950723.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 1965729.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 1000 us | synced: 1980734.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 1995740.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 2010745.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 0 us | synced: 2025751.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 2040757.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 1000 us | synced: 2055762.000000 ms
